,Rooms,Distance,Bedroom2,Bathroom,Car,BuildingArea,Lattitude,Longtitude,Age,Price
78,4,6.4,4,2,2,271.0,-37.7723,145.0319,10,2100000
79,3,6.4,3,1,1,131.0,-37.7802,145.0243,8,865000
80,2,6.4,2,1,1,60.0,-37.7773,145.0314,58,390000
81,2,6.4,2,1,1,61.0,-37.7805,145.0262,53,512000
82,4,6.4,4,2,2,272.0,-37.7844,145.0225,88,1900000
83,4,6.4,4,2,3,210.0,-37.7719,145.0309,98,1950000
84,3,13.8,3,2,1,242.0,-37.87,144.825,3,520000
85,5,13.8,5,3,3,268.0,-37.8721,144.8105,13,1525000
86,2,13.8,2,1,2,125.0,-37.8687,144.8197,5,720000
87,3,13.8,3,1,2,120.0,-37.8693,144.8375,88,1120000
88,4,13.8,4,3,6,220.0,-37.8681,144.819,56,1780000
89,3,13.8,2,1,2,94.0,-37.8702,144.8143,63,630000
90,3,13.8,3,1,1,123.0,-37.8616,144.8116,63,660000
91,2,13.8,2,1,1,93.0,-37.8696,144.827,30,580000
92,3,13.8,3,1,4,22.0,-37.8697,144.8249,65,1335000
93,2,13.8,2,1,1,76.0,-37.8686,144.8182,28,510000
94,2,13.8,2,1,2,57.0,-37.871,144.8185,38,425000
95,2,13.8,2,1,1,65.0,-37.8678,144.8384,53,391000
96,4,13.8,4,1,2,130.0,-37.8658,144.8155,68,845000
97,3,13.8,3,2,1,141.0,-37.868,144.8286,4,730000
98,2,13.8,2,1,1,77.0,-37.8655,144.8299,28,447000
99,3,13.8,3,1,2,87.0,-37.8608,144.8124,68,678000
100,2,13.8,2,2,1,76.0,-37.8687,144.8268,5,580000
101,3,13.8,3,2,2,136.0,-37.86,144.8245,53,840000
102,3,13.8,3,2,1,113.0,-37.8684,144.815,11,577000
103,2,13.8,2,2,1,100.0,-37.8653,144.8129,68,857000
104,3,13.8,3,2,1,3.0,-37.868,144.8285,4,730000
105,2,13.8,2,1,1,91.0,-37.8646,144.8272,22,535600
106,5,11.1,5,3,6,251.0,-37.8388,144.8567,53,1085000
107,3,11.1,3,1,2,117.0,-37.8291,144.835,48,781000
108,2,11.1,2,1,1,77.0,-37.8351,144.8529,9,421000
109,3,11.1,3,1,2,167.0,-37.8284,144.8355,51,683000
110,3,11.1,3,2,1,130.0,-37.8379,144.8583,6,720000
111,3,11.1,3,1,1,118.0,-37.838,144.8555,48,588000
112,3,11.1,3,1,3,116.0,-37.8294,144.8378,58,710000
113,4,11.1,3,1,4,169.0,-37.8448,144.8529,53,875000
114,3,11.1,3,2,2,109.0,-37.8337,144.8554,6,675000
115,3,11.1,3,1,2,97.0,-37.8258,144.8523,58,708000
116,4,11.1,4,2,4,170.0,-37.8391,144.8467,10,693000
117,3,11.1,5,2,2,100.0,-37.8262,144.8443,8,620000
118,3,11.1,3,1,1,157.0,-37.8277,144.8385,58,728500
119,3,11.1,3,2,1,160.0,-37.8382,144.8649,68,931000
120,3,11.1,3,2,3,130.0,-37.8318,144.8388,58,815000
121,4,11.1,4,1,4,158.0,-37.8375,144.8541,58,1200000
122,2,11.1,2,1,1,70.0,-37.8332,144.8649,48,292000
123,2,6.3,2,1,1,76.0,-37.8543,145.0262,54,599000
124,3,6.3,3,2,2,100.0,-37.8552,145.016,20,995000
125,3,6.3,3,2,2,105.0,-37.854,145.0135,18,1205000
126,3,6.3,3,2,2,150.0,-37.8614,145.0274,129,1939000
127,3,6.3,3,1,1,116.0,-37.8592,145.0182,130,1870000
128,3,6.3,3,2,2,165.0,-37.8537,145.0267,23,1918000
129,3,6.3,3,2,1,116.0,-37.8574,145.0281,108,2050000
130,3,6.3,3,2,1,14.0,-37.8543,145.0262,48,735000
131,1,6.3,2,2,1,107.0,-37.8564,145.0228,118,1435000
132,1,6.3,1,1,1,38.0,-37.8619,145.0185,43,280000
133,2,6.3,2,1,1,73.0,-37.8574,145.0174,48,592500
134,2,6.3,2,1,0,96.0,-37.8543,145.016,108,1210000
135,4,6.3,4,2,2,222.0,-37.8536,145.0173,118,2801000
136,3,6.3,3,2,2,121.0,-37.8545,145.0145,108,1800000
137,4,6.3,4,1,2,163.0,-37.8613,145.0264,118,2200000
138,6,6.3,5,3,4,516.0,-37.8602,145.013,83,5525000
139,1,6.3,1,1,1,53.0,-37.8531,145.0115,48,440000
140,3,6.3,2,1,2,106.0,-37.8542,145.0149,118,1300000
141,2,6.3,2,1,1,74.0,-37.8573,145.0186,49,704000
142,2,6.3,3,1,1,98.0,-37.8596,145.0198,48,620000
143,3,6.3,3,1,2,108.0,-37.8559,145.0158,118,1900000
144,2,6.3,2,1,1,80.0,-37.8573,145.0186,48,710000
145,2,6.3,2,1,1,88.0,-37.8593,145.0156,48,598000
146,3,6.3,3,1,2,80.0,-37.8554,145.0173,98,1285000
147,2,6.3,1,1,1,76.0,-37.8618,145.0183,48,520000
148,4,6.3,4,1,2,251.0,-37.8574,145.016,118,3625000
149,4,6.3,4,3,3,333.0,-37.8582,145.0138,18,4200000
150,3,6.3,3,1,2,3.0,-37.8542,145.0135,18,1101000
151,3,6.3,3,2,2,285.0,-37.8557,145.0264,20,3512500
152,3,6.3,2,1,1,91.0,-37.853,145.0264,78,869000
153,1,6.3,1,1,1,53.0,-37.8549,145.0113,5,567000
154,3,5.9,3,1,2,108.0,-37.7777,144.9195,98,940000
155,2,5.9,2,1,1,62.0,-37.7761,144.9201,38,467000
156,3,5.9,3,2,2,174.0,-37.7777,144.9221,108,1380000
157,2,5.9,2,1,1,62.0,-37.7736,144.9015,48,490000
158,4,5.9,4,3,1,270.0,-37.7729,144.9179,118,1850000
159,3,5.9,3,2,2,128.0,-37.775,144.9091,118,971000
160,2,5.9,2,1,1,77.0,-37.7776,144.9142,128,710000
161,6,5.9,6,3,2,435.0,-37.7721,144.9184,131,2425000
162,2,5.9,2,1,1,92.0,-37.7745,144.9093,98,750000
163,2,5.9,2,1,1,109.0,-37.7748,144.929,118,1053000
164,3,5.9,3,1,1,168.0,-37.7756,144.9208,118,1377000
165,3,5.9,3,1,2,125.0,-37.7759,144.91,114,970000
166,2,5.9,2,1,1,79.0,-37.7807,144.9288,128,751000
167,2,5.9,2,1,1,102.0,-37.7731,144.9206,118,950000
168,2,5.9,2,1,2,90.0,-37.7718,144.9066,23,685000
169,3,5.9,4,1,2,148.0,-37.7819,144.9064,58,1230000
170,2,5.9,2,1,1,87.0,-37.7774,144.9186,118,770000
171,4,5.9,4,1,1,185.0,-37.7766,144.9143,128,890000
172,3,5.9,3,1,1,131.0,-37.7725,144.9146,118,1440000
173,3,5.9,3,2,2,120.0,-37.7746,144.9031,63,1000000
174,3,5.9,3,2,2,147.0,-37.7737,144.904,68,1435000
175,1,5.9,1,1,1,58.0,-37.7723,144.9094,46,390000
176,3,5.9,3,2,2,139.0,-37.7821,144.9055,98,1425000
177,4,5.9,3,2,2,232.0,-37.775,144.93200000000002,40,1340000
178,3,5.9,3,1,1,117.0,-37.7753,144.9116,108,955000
179,4,5.9,4,2,5,195.0,-37.7791,144.9136,98,1100000
180,2,5.9,2,1,1,62.0,-37.773,144.9303,40,432000
181,4,5.9,4,3,2,204.0,-37.782,144.903,128,1640000
182,6,5.9,4,2,1,286.0,-37.78,144.9295,118,1430000
183,2,5.9,2,1,1,104.0,-37.7791,144.914,23,610000
184,3,5.9,3,3,1,127.0,-37.7727,144.9136,68,940000
185,3,5.9,3,1,1,110.0,-37.7765,144.9114,98,890000
186,3,5.9,3,2,2,149.0,-37.7742,144.906,88,1180000
187,4,5.9,4,2,2,180.0,-37.7757,144.9088,79,1480000
188,2,5.9,2,2,1,132.0,-37.7713,144.9038,3,865000
189,2,5.9,2,1,1,62.0,-37.7733,144.9219,43,442000
190,3,5.9,3,1,2,110.0,-37.7779,144.9133,98,1037500
191,3,5.9,3,2,2,160.0,-37.7744,144.9035,5,1050000
192,2,5.9,2,1,1,65.0,-37.7749,144.9137,48,440000
193,4,5.9,4,2,0,158.0,-37.7766,144.9187,118,1430000
194,3,5.9,3,2,1,157.0,-37.7774,144.928,118,1130000
195,3,5.9,3,1,1,104.0,-37.777,144.9176,108,1135000
196,4,5.9,4,2,1,147.0,-37.7778,144.9131,98,950000
197,2,5.9,2,1,1,69.0,-37.7731,144.9074,6,390000
198,4,5.9,4,1,1,155.0,-37.7769,144.9138,98,1345000
199,3,5.9,3,2,2,168.0,-37.7727,144.9055,118,1381500
200,3,5.9,3,2,2,172.0,-37.7778,144.9061,7,940000
201,3,5.9,3,2,1,177.0,-37.7778,144.9042,8,995000
202,3,5.9,3,2,1,120.0,-37.7816,144.9217,78,786000
203,2,5.9,2,1,3,108.0,-37.7825,144.9206,108,705000
204,2,5.9,2,1,1,77.0,-37.7807,144.9285,118,760000
205,3,5.9,3,2,2,144.0,-37.7766,144.9277,15,1000000
206,3,5.9,2,1,1,166.0,-37.7768,144.9223,118,1305000
207,3,5.9,3,1,1,175.0,-37.7762,144.9174,58,1215000
208,2,5.9,2,1,2,71.0,-37.7772,144.9118,118,545000
209,4,5.9,4,2,4,273.0,-37.7774,144.9104,6,1705000
210,4,11.0,4,3,2,399.0,-37.8669,145.0767,3,2650000
211,3,11.0,3,2,2,220.0,-37.8673,145.0688,88,1670000
212,3,11.0,3,3,4,315.0,-37.874,145.0714,4,2050000
213,3,11.0,3,2,2,149.0,-37.8666,145.0676,83,1555000
214,3,11.0,3,3,2,178.0,-37.8699,145.0778,14,1100000
215,3,11.0,3,1,2,112.0,-37.8685,145.0786,68,1337000
216,8,11.0,9,7,4,618.0,-37.8729,145.0788,9,2950000
217,3,11.0,3,2,2,145.0,-37.8675,145.0668,98,1518000
218,3,11.0,3,1,2,101.0,-37.8695,145.084,68,1710000
219,3,11.0,3,1,3,152.0,-37.8599,145.0815,78,1655000
220,4,11.0,4,2,2,180.0,-37.86,145.0817,80,1550000
221,3,11.0,3,2,2,228.0,-37.8742,145.07,12,1662000
222,3,11.0,3,2,3,145.0,-37.8737,145.0695,73,1665000
223,5,11.0,5,5,2,444.0,-37.8598,145.0796,3,3510000
224,3,11.0,3,2,2,110.0,-37.8655,145.0808,28,900000
225,5,11.0,6,4,2,390.0,-37.8714,145.07299999999998,8,2752000
226,3,11.0,3,2,2,139.0,-37.8653,145.0897,73,1500000
227,4,11.0,4,2,4,206.0,-37.8669,145.077,68,1800000
228,3,11.0,3,2,3,168.0,-37.8619,145.0879,78,1830000
229,3,11.0,3,1,1,111.0,-37.8703,145.0774,68,1415000
230,2,11.0,2,1,1,104.0,-37.872,145.0692,78,1440000
231,4,11.0,4,2,2,199.0,-37.8693,145.08,11,1250000
232,5,11.0,5,3,4,266.0,-37.8724,145.0758,68,1600000
233,4,11.0,4,2,3,274.0,-37.8711,145.0746,18,1860000
234,4,11.0,4,2,2,240.0,-37.8664,145.0772,83,1790000
235,4,11.0,4,2,2,278.0,-37.8715,145.0688,78,1950000
236,3,11.0,3,1,1,164.0,-37.8636,145.0903,71,1650000
237,4,12.2,4,3,2,201.0,-37.8716,145.0999,2,1200000
238,2,12.2,2,1,2,114.0,-37.8694,145.0944,68,1075000
239,4,12.2,2,2,2,203.0,-37.8647,145.1023,18,1500000
240,2,12.2,2,1,2,110.0,-37.8662,145.109,48,700000
241,3,12.2,3,2,4,94.0,-37.8675,145.106,68,761000
242,3,12.2,3,1,1,792.0,-37.864000000000004,145.0972,68,1365000
243,4,12.2,3,2,2,152.0,-37.8621,145.1126,48,1100000
244,2,12.2,2,1,1,90.0,-37.8711,145.1017,15,690000
245,3,12.2,3,2,3,215.0,-37.8621,145.1021,68,1631000
246,4,12.2,4,2,1,255.0,-37.8655,145.096,88,1500000
247,5,12.2,5,3,2,317.0,-37.8637,145.1024,18,1529500
248,2,12.2,2,1,1,80.0,-37.8696,145.0962,48,600000
249,4,12.2,4,2,2,192.0,-37.8629,145.1097,68,1240000
250,2,12.2,2,1,2,88.0,-37.8709,145.102,11,700000
251,2,12.2,2,1,1,86.0,-37.8683,145.1082,68,1110000
252,3,12.2,3,1,1,120.0,-37.858000000000004,145.1038,58,1305000
253,3,12.2,3,2,1,85.0,-37.87,145.1103,60,855000
254,3,12.2,3,2,2,134.0,-37.8655,145.1096,6,900500
255,3,12.2,3,2,2,198.0,-37.8614,145.1098,48,1200000
256,3,12.2,2,1,2,130.0,-37.8723,145.1089,6,830000
257,3,10.5,3,1,1,118.0,-37.7677,144.8674,48,850000
258,3,10.5,3,1,1,103.0,-37.7634,144.8611,38,750000
259,3,10.5,3,3,1,181.0,-37.77,144.8572,1,851000
260,4,10.5,3,2,2,225.0,-37.7654,144.8655,10,1155000
261,3,10.5,3,1,2,120.0,-37.7591,144.8542,48,680000
262,3,10.5,3,1,1,143.0,-37.7632,144.8622,48,627500
263,4,10.5,4,3,3,281.0,-37.7524,144.8714,48,950000
264,3,10.5,3,1,1,106.0,-37.7691,144.8575,58,705000
265,4,10.5,4,3,2,395.0,-37.7609,144.8639,26,1100000
266,3,10.5,3,1,1,118.0,-37.7642,144.8603,53,892500
267,2,10.5,2,1,1,101.0,-37.756,144.8641,23,522500
268,4,10.5,4,2,2,140.0,-37.7649,144.8633,58,680000
269,3,10.5,3,1,3,117.0,-37.765,144.8578,58,875000
270,4,10.5,4,2,2,150.0,-37.7573,144.8534,57,762000
271,2,10.5,2,1,1,85.0,-37.7608,144.863,23,411000
272,3,10.5,3,2,2,103.0,-37.7607,144.8581,48,805000
273,3,10.5,4,2,1,153.0,-37.7584,144.8568,68,634000
274,4,6.6,3,2,1,180.0,-37.8668,144.9928,118,1819000
275,2,6.6,2,1,2,61.0,-37.8731,144.9958,53,410000
276,2,6.6,2,1,2,120.0,-37.8723,144.9961,18,1015000
277,2,6.6,2,1,1,65.0,-37.8725,144.9952,58,502500
278,2,6.6,2,1,0,58.0,-37.8742,144.9972,48,520000
279,2,6.6,2,1,1,61.0,-37.8726,144.9962,58,442000
280,3,6.6,3,1,1,100.0,-37.8663,144.9948,98,1193000
281,2,6.6,2,1,1,49.0,-37.8678,144.9966,58,416000
282,2,6.6,2,1,1,59.0,-37.8667,144.9917,48,474000
283,2,6.6,2,1,0,84.0,-37.874,144.9933,88,981000
284,3,6.6,3,2,2,159.0,-37.872,144.9909,128,1690000
285,2,6.6,2,1,1,51.0,-37.8727,144.9969,48,540000
286,2,9.7,2,1,1,123.0,-37.8094,145.0807,98,2100000
287,4,9.7,4,2,2,218.0,-37.811,145.0958,33,1800000
288,2,9.7,2,1,1,129.0,-37.8128,145.0975,18,1255000
289,3,9.7,3,2,2,112.0,-37.8161,145.0812,20,1070000
290,5,9.7,5,3,2,420.0,-37.8028,145.0768,9,2570000
291,4,9.7,4,2,2,226.0,-37.8147,145.0748,33,2400000
292,2,9.7,2,1,1,97.0,-37.8124,145.0916,41,806000
293,6,9.7,6,4,7,449.0,-37.8051,145.1016,83,4000000
294,5,9.7,5,3,2,356.0,-37.8061,145.0801,12,2250000
295,5,9.7,5,3,2,349.0,-37.8048,145.0708,17,2800000
296,2,9.7,3,1,1,166.0,-37.8074,145.0826,88,1850000
297,3,9.7,3,1,1,110.0,-37.8065,145.065,48,700000
298,2,9.7,2,1,1,72.0,-37.8162,145.0841,58,500000
299,3,9.7,3,2,2,252.0,-37.814,145.0966,33,2125000
300,4,9.7,3,2,2,200.0,-37.8032,145.0693,70,1800000
301,2,9.7,2,1,1,70.0,-37.8116,145.0724,4,635000
302,2,9.7,2,1,1,73.0,-37.8144,145.0993,58,526000
303,3,9.7,3,1,2,150.0,-37.8013,145.0652,23,905000
304,4,9.7,4,3,2,308.0,-37.8044,145.1006,2,1750000
305,2,9.7,2,1,1,100.0,-37.8112,145.0881,58,760000
306,3,9.7,3,2,2,164.0,-37.8125,145.0849,15,1367000
307,4,9.7,4,3,2,240.0,-37.8042,145.1042,9,1400000
308,4,9.7,4,2,4,241.0,-37.8157,145.0795,91,3270000
309,2,9.7,2,1,1,104.0,-37.8122,145.0879,58,625000
310,4,9.7,4,3,2,336.0,-37.8068,145.0786,21,2730000
311,2,9.7,2,1,1,79.0,-37.8152,145.0839,68,460000
312,2,9.7,2,1,2,98.0,-37.8123,145.0821,33,1053000
313,3,9.7,3,2,2,170.0,-37.8106,145.0848,23,1472000
314,2,9.7,2,1,1,88.0,-37.8134,145.08100000000002,28,754000
315,4,9.7,4,2,2,253.0,-37.8149,145.0747,37,2188000
316,2,9.7,2,1,1,92.0,-37.8092,145.0789,38,755000
317,4,9.7,4,3,2,350.0,-37.8135,145.0995,108,3290000
318,4,9.7,4,2,1,207.0,-37.8056,145.071,78,2410000
319,2,9.7,2,1,1,150.0,-37.8147,145.084,58,650000
320,4,9.7,3,1,2,291.0,-37.8039,145.0631,88,2000000
321,4,9.7,4,2,1,155.0,-37.8057,145.0825,78,1900000
322,3,9.7,3,2,1,166.0,-37.8161,145.0748,88,3401000
323,3,9.7,3,2,3,193.0,-37.8056,145.0688,75,1750000
324,5,9.7,5,3,2,420.0,-37.8028,145.0768,9,3020000
325,5,9.7,4,2,2,260.0,-37.8058,145.0627,58,2450000
326,2,9.7,2,1,1,80.0,-37.812,145.0876,58,730000
327,3,9.7,3,2,2,190.0,-37.8075,145.1011,7,1500000
328,4,9.7,3,1,1,115.0,-37.8099,145.0792,83,1700000
329,3,9.2,3,2,2,167.0,-37.7966,145.1021,18,1315000
330,3,9.2,3,2,1,154.0,-37.7939,145.0789,68,1500000
331,4,9.2,4,4,3,275.0,-37.8014,145.0892,58,3230000
332,4,9.2,4,2,2,185.0,-37.7917,145.0868,63,1905000
333,5,9.2,5,4,2,477.0,-37.7907,145.0907,3,3300000
334,4,9.2,4,2,2,215.0,-37.7988,145.0726,63,1900000
335,3,9.2,3,1,2,137.0,-37.8002,145.0949,68,2251000
336,4,9.2,4,2,2,214.0,-37.7906,145.0788,68,2205000
337,3,9.2,3,2,1,160.0,-37.7947,145.1035,7,1265000
338,4,9.2,4,2,2,185.0,-37.7856,145.0918,58,1750000
339,3,9.2,3,1,2,124.0,-37.7862,145.0781,68,1450000
340,4,9.2,4,2,2,150.0,-37.7959,145.0787,63,2614000
341,4,9.2,4,2,3,225.0,-37.7944,145.1028,60,1825000
342,5,9.2,3,4,2,520.0,-37.804,145.0951,5,3250000
343,3,9.2,3,2,1,144.0,-37.7893,145.092,15,1150000
344,4,9.2,4,2,2,330.0,-37.798,145.1007,53,1572000
345,5,9.2,5,3,2,365.0,-37.7851,145.0775,5,1750000
346,4,9.2,4,2,2,254.0,-37.8025,145.0843,28,1850000
347,4,9.2,4,3,2,275.0,-37.7822,145.0907,48,2130000
348,5,9.2,4,4,2,154.0,-37.802,145.0797,51,3690000
349,4,9.2,4,2,2,275.0,-37.7843,145.0891,25,1740000
350,4,9.2,4,3,2,355.0,-37.7981,145.0904,12,2575000
351,4,9.2,3,2,1,247.0,-37.783,145.0926,48,1388800
352,4,9.2,4,2,4,165.0,-37.7841,145.0953,58,1800000
353,4,9.2,4,3,2,247.0,-37.7975,145.0716,26,2910000
354,5,9.2,5,3,2,355.0,-37.7868,145.0677,63,2200000
355,3,9.2,3,2,3,168.0,-37.7935,145.0865,58,1700000
356,3,9.2,3,3,1,188.0,-37.7949,145.1014,6,1230000
357,7,9.2,5,3,3,529.0,-37.7898,145.0967,10,2600000
358,4,9.2,3,3,2,232.0,-37.7889,145.0904,48,1950000
359,5,9.2,5,2,2,170.0,-37.7907,145.0916,63,1750000
360,5,9.2,5,2,2,244.0,-37.796,145.0984,68,2000000
361,3,9.2,3,1,4,116.0,-37.7951,145.0696,68,1480000
362,3,9.2,3,1,1,90.0,-37.7956,145.0829,88,1818000
363,4,9.2,4,2,2,196.0,-37.7988,145.089,58,2525000
364,4,9.2,4,3,1,420.0,-37.797,145.086,15,3360000
365,3,9.2,3,1,2,720.0,-37.7982,145.0816,68,1903000
366,4,9.2,4,3,2,170.0,-37.8002,145.0999,68,1720000
367,4,9.2,4,2,2,201.0,-37.7835,145.0883,44,1675000
368,4,9.2,4,3,1,200.0,-37.7987,145.0788,4,1680000
369,5,9.2,5,5,4,518.0,-37.7961,145.0859,5,4000000
370,4,9.2,4,2,2,250.0,-37.7982,145.0903,68,2205000
371,3,9.2,3,2,3,175.0,-37.796,145.0696,78,2100000
372,2,9.2,2,1,1,85.0,-37.7935,145.0679,43,685000
373,3,9.2,3,2,2,177.0,-37.7846,145.0935,9,1335000
374,4,9.2,4,2,4,165.0,-37.7841,145.0953,58,1900000
375,2,9.2,2,1,1,112.0,-37.7996,145.0959,23,1040000
376,4,9.2,4,2,2,153.0,-37.7997,145.0993,68,1250000
377,5,9.2,5,3,2,200.0,-37.7854,145.0869,57,1875000
378,4,9.2,4,2,2,198.0,-37.7839,145.0954,58,1530000
379,4,9.2,3,2,5,175.0,-37.786,145.0886,58,1700000
380,3,9.2,3,1,2,151.0,-37.7895,145.0985,58,1651000
381,5,9.2,5,3,2,355.0,-37.7868,145.0677,63,1920000
382,5,9.2,5,2,3,199.0,-37.7898,145.1021,38,1560000
383,3,9.2,3,2,1,144.0,-37.7893,145.092,15,1038000
384,5,9.2,4,3,2,193.0,-37.7975,145.0961,68,1660000
385,3,9.2,3,2,1,147.0,-37.7938,145.0838,63,1770000
386,2,9.2,3,1,1,102.0,-37.7938,145.0666,50,691500
387,3,13.0,3,1,2,121.0,-37.9273,145.0479,68,875000
388,3,13.0,3,2,2,143.0,-37.9311,145.0428,58,1425000
389,2,13.0,2,1,1,250.0,-37.9204,145.0443,48,851000
390,3,13.0,3,2,2,181.0,-37.9272,145.0406,18,1222500
391,3,13.0,3,1,1,127.0,-37.9149,145.0254,73,1317500
392,2,13.0,2,1,1,69.0,-37.9332,145.045,53,360000
393,4,13.0,3,3,2,212.0,-37.9278,145.0337,6,1435000
394,3,13.0,3,1,2,164.0,-37.9263,145.04,78,1110000
395,4,13.0,3,2,2,250.0,-37.9166,145.0314,90,2435000
396,3,13.0,3,2,1,222.0,-37.9134,145.0263,78,1500000
397,4,13.0,4,2,2,194.0,-37.9318,145.0474,78,1300000
398,3,13.0,3,1,2,116.0,-37.9199,145.0477,70,1125000
399,4,13.0,3,2,2,112.0,-37.9291,145.0472,78,1328000
400,3,13.0,3,2,1,135.0,-37.9279,145.031,108,1340000
401,4,13.0,4,3,2,205.0,-37.9252,145.0494,8,1155000
402,3,13.0,3,1,4,138.0,-37.9267,145.043,58,1275000
