,Rooms,Distance,Landsize,Bathroom,Car,BuildingArea,Lattitude,Longtitude,Age,Price
557,4,5.9,418.0,2.0,0.0,158.0,-37.7766,144.9187,118.0,1430000.0
564,3,5.9,272.0,2.0,1.0,157.0,-37.7774,144.928,118.0,1130000.0
565,3,5.9,296.0,1.0,1.0,104.0,-37.777,144.9176,108.0,1135000.0
566,4,5.9,298.0,2.0,1.0,147.0,-37.7778,144.9131,98.0,950000.0
569,2,5.9,1957.0,1.0,1.0,69.0,-37.7731,144.9074,6.0,390000.0
570,4,5.9,552.0,1.0,1.0,155.0,-37.7769,144.9138,98.0,1345000.0
572,3,5.9,416.0,2.0,2.0,168.0,-37.7727,144.9055,118.0,1381500.0
573,3,5.9,285.0,2.0,2.0,172.0,-37.7778,144.9061,7.0,940000.0
574,3,5.9,314.0,2.0,1.0,177.0,-37.7778,144.9042,8.0,995000.0
576,3,5.9,576.0,2.0,1.0,120.0,-37.7816,144.9217,78.0,786000.0
577,2,5.9,252.0,1.0,3.0,108.0,-37.7825,144.9206,108.0,705000.0
579,2,5.9,124.0,1.0,1.0,77.0,-37.7807,144.9285,118.0,760000.0
582,3,5.9,200.0,2.0,2.0,144.0,-37.7766,144.9277,15.0,1000000.0
587,3,5.9,278.0,1.0,1.0,166.0,-37.7768,144.9223,118.0,1305000.0
590,3,5.9,452.0,1.0,1.0,175.0,-37.7762,144.9174,58.0,1215000.0
591,2,5.9,194.0,1.0,2.0,71.0,-37.7772,144.9118,118.0,545000.0
594,4,5.9,598.0,2.0,4.0,273.0,-37.7774,144.9104,6.0,1705000.0
597,4,11.0,753.0,3.0,2.0,399.0,-37.8669,145.0767,3.0,2650000.0
599,3,11.0,599.0,2.0,2.0,220.0,-37.8673,145.0688,88.0,1670000.0
601,3,11.0,310.0,3.0,4.0,315.0,-37.874,145.0714,4.0,2050000.0
607,3,11.0,731.0,2.0,2.0,149.0,-37.8666,145.0676,83.0,1555000.0
614,3,11.0,276.0,3.0,2.0,178.0,-37.8699,145.0778,14.0,1100000.0
615,3,11.0,583.0,1.0,2.0,112.0,-37.8685,145.0786,68.0,1337000.0
616,8,11.0,1472.0,7.0,4.0,618.0,-37.8729,145.0788,9.0,2950000.0
619,3,11.0,516.0,2.0,2.0,145.0,-37.8675,145.0668,98.0,1518000.0
620,3,11.0,806.0,1.0,2.0,101.0,-37.8695,145.084,68.0,1710000.0
623,3,11.0,780.0,1.0,3.0,152.0,-37.8599,145.0815,78.0,1655000.0
628,4,11.0,780.0,2.0,2.0,180.0,-37.86,145.0817,80.0,1550000.0
630,3,11.0,351.0,2.0,2.0,228.0,-37.8742,145.07,12.0,1662000.0
632,3,11.0,702.0,2.0,3.0,145.0,-37.8737,145.0695,73.0,1665000.0
642,5,11.0,755.0,5.0,2.0,444.0,-37.8598,145.0796,3.0,3510000.0
646,3,11.0,153.0,2.0,2.0,110.0,-37.8655,145.0808,28.0,900000.0
650,5,11.0,1075.0,4.0,2.0,390.0,-37.8714,145.07299999999998,8.0,2752000.0
654,3,11.0,710.0,2.0,2.0,139.0,-37.8653,145.0897,73.0,1500000.0
659,4,11.0,749.0,2.0,4.0,206.0,-37.8669,145.077,68.0,1800000.0
663,3,11.0,724.0,2.0,3.0,168.0,-37.8619,145.0879,78.0,1830000.0
665,3,11.0,605.0,1.0,1.0,111.0,-37.8703,145.0774,68.0,1415000.0
666,2,11.0,687.0,1.0,1.0,104.0,-37.872,145.0692,78.0,1440000.0
667,4,11.0,321.0,2.0,2.0,199.0,-37.8693,145.08,11.0,1250000.0
669,5,11.0,700.0,3.0,4.0,266.0,-37.8724,145.0758,68.0,1600000.0
670,4,11.0,696.0,2.0,3.0,274.0,-37.8711,145.0746,18.0,1860000.0
673,4,11.0,514.0,2.0,2.0,240.0,-37.8664,145.0772,83.0,1790000.0
674,4,11.0,844.0,2.0,2.0,278.0,-37.8715,145.0688,78.0,1950000.0
677,3,11.0,697.0,1.0,1.0,164.0,-37.8636,145.0903,71.0,1650000.0
685,4,12.2,372.0,3.0,2.0,201.0,-37.8716,145.0999,2.0,1200000.0
686,2,12.2,695.0,1.0,2.0,114.0,-37.8694,145.0944,68.0,1075000.0
688,4,12.2,621.0,2.0,2.0,203.0,-37.8647,145.1023,18.0,1500000.0
690,2,12.2,367.0,1.0,2.0,110.0,-37.8662,145.109,48.0,700000.0
691,3,12.2,400.0,2.0,4.0,94.0,-37.8675,145.106,68.0,761000.0
694,3,12.2,792.0,1.0,1.0,792.0,-37.864000000000004,145.0972,68.0,1365000.0
695,4,12.2,803.0,2.0,2.0,152.0,-37.8621,145.1126,48.0,1100000.0
702,2,12.2,216.0,1.0,1.0,90.0,-37.8711,145.1017,15.0,690000.0
703,3,12.2,782.0,2.0,3.0,215.0,-37.8621,145.1021,68.0,1631000.0
705,4,12.2,593.0,2.0,1.0,255.0,-37.8655,145.096,88.0,1500000.0
710,5,12.2,585.0,3.0,2.0,317.0,-37.8637,145.1024,18.0,1529500.0
714,2,12.2,153.0,1.0,1.0,80.0,-37.8696,145.0962,48.0,600000.0
722,4,12.2,766.0,2.0,2.0,192.0,-37.8629,145.1097,68.0,1240000.0
724,2,12.2,192.0,1.0,2.0,88.0,-37.8709,145.102,11.0,700000.0
730,2,12.2,586.0,1.0,1.0,86.0,-37.8683,145.1082,68.0,1110000.0
731,3,12.2,760.0,1.0,1.0,120.0,-37.858000000000004,145.1038,58.0,1305000.0
733,3,12.2,320.0,2.0,1.0,85.0,-37.87,145.1103,60.0,855000.0
739,3,12.2,256.0,2.0,2.0,134.0,-37.8655,145.1096,6.0,900500.0
743,3,12.2,839.0,2.0,2.0,198.0,-37.8614,145.1098,48.0,1200000.0
745,3,12.2,212.0,1.0,2.0,130.0,-37.8723,145.1089,6.0,830000.0
748,3,10.5,593.0,1.0,1.0,118.0,-37.7677,144.8674,48.0,850000.0
749,3,10.5,0.0,1.0,1.0,103.0,-37.7634,144.8611,38.0,750000.0
750,3,10.5,557.0,3.0,1.0,181.0,-37.77,144.8572,1.0,851000.0
754,4,10.5,569.0,2.0,2.0,225.0,-37.7654,144.8655,10.0,1155000.0
760,3,10.5,570.0,1.0,2.0,120.0,-37.7591,144.8542,48.0,680000.0
765,3,10.5,550.0,1.0,1.0,143.0,-37.7632,144.8622,48.0,627500.0
769,4,10.5,761.0,3.0,3.0,281.0,-37.7524,144.8714,48.0,950000.0
789,3,10.5,581.0,1.0,1.0,106.0,-37.7691,144.8575,58.0,705000.0
790,4,10.5,873.0,3.0,2.0,395.0,-37.7609,144.8639,26.0,1100000.0
792,3,10.5,586.0,1.0,1.0,118.0,-37.7642,144.8603,53.0,892500.0
797,2,10.5,220.0,1.0,1.0,101.0,-37.756,144.8641,23.0,522500.0
799,4,10.5,554.0,2.0,2.0,140.0,-37.7649,144.8633,58.0,680000.0
803,3,10.5,812.0,1.0,3.0,117.0,-37.765,144.8578,58.0,875000.0
807,4,10.5,589.0,2.0,2.0,150.0,-37.7573,144.8534,57.0,762000.0
812,2,10.5,0.0,1.0,1.0,85.0,-37.7608,144.863,23.0,411000.0
815,3,10.5,593.0,2.0,2.0,103.0,-37.7607,144.8581,48.0,805000.0
818,3,10.5,582.0,2.0,1.0,153.0,-37.7584,144.8568,68.0,634000.0
823,4,6.6,244.0,2.0,1.0,180.0,-37.8668,144.9928,118.0,1819000.0
824,2,6.6,0.0,1.0,2.0,61.0,-37.8731,144.9958,53.0,410000.0
827,2,6.6,114.0,1.0,2.0,120.0,-37.8723,144.9961,18.0,1015000.0
831,2,6.6,0.0,1.0,1.0,65.0,-37.8725,144.9952,58.0,502500.0
832,2,6.6,0.0,1.0,0.0,58.0,-37.8742,144.9972,48.0,520000.0
833,2,6.6,0.0,1.0,1.0,61.0,-37.8726,144.9962,58.0,442000.0
835,3,6.6,178.0,1.0,1.0,100.0,-37.8663,144.9948,98.0,1193000.0
836,2,6.6,0.0,1.0,1.0,49.0,-37.8678,144.9966,58.0,416000.0
838,2,6.6,0.0,1.0,1.0,59.0,-37.8667,144.9917,48.0,474000.0
839,2,6.6,159.0,1.0,0.0,84.0,-37.874,144.9933,88.0,981000.0
840,3,6.6,339.0,2.0,2.0,159.0,-37.872,144.9909,128.0,1690000.0
842,2,6.6,483.0,1.0,1.0,51.0,-37.8727,144.9969,48.0,540000.0
847,2,9.7,659.0,1.0,1.0,123.0,-37.8094,145.0807,98.0,2100000.0
848,4,9.7,715.0,2.0,2.0,218.0,-37.811,145.0958,33.0,1800000.0
849,2,9.7,208.0,1.0,1.0,129.0,-37.8128,145.0975,18.0,1255000.0
850,3,9.7,206.0,2.0,2.0,112.0,-37.8161,145.0812,20.0,1070000.0
853,5,9.7,715.0,3.0,2.0,420.0,-37.8028,145.0768,9.0,2570000.0
854,4,9.7,744.0,2.0,2.0,226.0,-37.8147,145.0748,33.0,2400000.0
857,2,9.7,122.0,1.0,1.0,97.0,-37.8124,145.0916,41.0,806000.0
858,6,9.7,2051.0,4.0,7.0,449.0,-37.8051,145.1016,83.0,4000000.0
860,5,9.7,600.0,3.0,2.0,356.0,-37.8061,145.0801,12.0,2250000.0
869,5,9.7,678.0,3.0,2.0,349.0,-37.8048,145.0708,17.0,2800000.0
874,2,9.7,1015.0,1.0,1.0,166.0,-37.8074,145.0826,88.0,1850000.0
881,3,9.7,188.0,1.0,1.0,110.0,-37.8065,145.065,48.0,700000.0
883,2,9.7,0.0,1.0,1.0,72.0,-37.8162,145.0841,58.0,500000.0
884,3,9.7,699.0,2.0,2.0,252.0,-37.814,145.0966,33.0,2125000.0
888,4,9.7,577.0,2.0,2.0,200.0,-37.8032,145.0693,70.0,1800000.0
890,2,9.7,0.0,1.0,1.0,70.0,-37.8116,145.0724,4.0,635000.0
895,2,9.7,0.0,1.0,1.0,73.0,-37.8144,145.0993,58.0,526000.0
899,3,9.7,281.0,1.0,2.0,150.0,-37.8013,145.0652,23.0,905000.0
900,4,9.7,453.0,3.0,2.0,308.0,-37.8044,145.1006,2.0,1750000.0
901,2,9.7,121.0,1.0,1.0,100.0,-37.8112,145.0881,58.0,760000.0
904,3,9.7,219.0,2.0,2.0,164.0,-37.8125,145.0849,15.0,1367000.0
910,4,9.7,241.0,3.0,2.0,240.0,-37.8042,145.1042,9.0,1400000.0
913,4,9.7,935.0,2.0,4.0,241.0,-37.8157,145.0795,91.0,3270000.0
916,2,9.7,115.0,1.0,1.0,104.0,-37.8122,145.0879,58.0,625000.0
924,4,9.7,674.0,3.0,2.0,336.0,-37.8068,145.0786,21.0,2730000.0
930,2,9.7,0.0,1.0,1.0,79.0,-37.8152,145.0839,68.0,460000.0
932,2,9.7,231.0,1.0,2.0,98.0,-37.8123,145.0821,33.0,1053000.0
